address_name,category_name,place_name,place_url,x,y
서울 동대문구 제기동 470,음식점 > 한식 > 냉면,할머니냉면,http://place.map.kakao.com/10926416,127.043700583545,37.5822701030824
서울 동대문구 청량리동 50-18,음식점 > 한식 > 국수 > 칼국수,혜성칼국수,http://place.map.kakao.com/16937330,127.04897707662816,37.583374451618006
서울 동대문구 제기동 486-28,음식점 > 분식,짱구네야끼만두,http://place.map.kakao.com/338133444,127.043242709458,37.5814233377754
서울 동대문구 제기동 575-4,음식점 > 일식,청량함박,http://place.map.kakao.com/682571203,127.042628037792,37.5815515024298
서울 동대문구 청량리동 296,음식점 > 한식 > 냉면,평양냉면 본점,http://place.map.kakao.com/13323543,127.04492066414232,37.581661474464845
서울 동대문구 청량리동 769-1,음식점 > 한식 > 순대,청량리고향집 본점,http://place.map.kakao.com/1030146809,127.04391229588512,37.58034640313624
서울 동대문구 제기동 635-4,음식점 > 치킨,남원통닭 별관,http://place.map.kakao.com/27323391,127.04276663659196,37.5804098933132
서울 동대문구 청량리동 789,음식점 > 분식,왕엄마김밥,http://place.map.kakao.com/582617362,127.043266344376,37.581181862818
서울 동대문구 청량리동 791,음식점 > 분식,기태만두,http://place.map.kakao.com/20637982,127.043152045746,37.5812611921019
서울 동대문구 전농동 602-9,"음식점 > 한식 > 육류,고기 > 족발,보쌈",서울뼈구이 본점,http://place.map.kakao.com/16531175,127.051278756793,37.5850349055577
서울 중구 명동1가 54-6,음식점 > 한식 > 설렁탕,미성옥,http://place.map.kakao.com/19157171,126.983936564299,37.5641707054203
서울 중구 명동1가 10-9,음식점 > 한식 > 곰탕,하동관 명동본점,http://place.map.kakao.com/1822111964,126.9850231032312,37.564430335182415
서울 중구 을지로1가 180-6,음식점 > 뷔페,롯데호텔서울 라세느,http://place.map.kakao.com/27348727,126.98098436963744,37.56530912605071
서울 중구 충무로3가 23-1,음식점 > 한식 > 국수 > 칼국수,사랑방칼국수,http://place.map.kakao.com/7919722,126.99133001470943,37.5632668794966
서울 중구 을지로3가 315-18,음식점 > 중식 > 중국요리,안동장,http://place.map.kakao.com/10582837,126.99157870487,37.5660852137074
서울 중구 저동2가 46-27,음식점 > 일식,진작,http://place.map.kakao.com/2029456983,126.99083756712574,37.56401827329497
서울 중구 인현동1가 15-4,음식점 > 한식 > 순대,을지로 산수갑산 을지로점,http://place.map.kakao.com/27072121,126.99529702271732,37.56537903946138
서울 중구 을지로3가 323,음식점 > 아시아음식 > 동남아음식 > 베트남음식,을지깐깐 을지로본점,http://place.map.kakao.com/1664194334,126.991071657,37.5657427979552
서울 중구 을지로2가 101-17,"음식점 > 한식 > 해물,생선 > 매운탕,해물탕",동강나루터,http://place.map.kakao.com/18241603,126.98897529681952,37.56642917976896
서울 중구 초동 17-1,"음식점 > 일식 > 돈까스,우동",동경우동,http://place.map.kakao.com/8264592,126.99295969662816,37.56523025885532
서울 중구 을지로3가 95-1,"음식점 > 술집 > 호프,요리주점",원조만선호프 노가리체인본점,http://place.map.kakao.com/8332362,126.99178231800012,37.56724931479237
서울 중구 인현동2가 135-13,"음식점 > 한식 > 육류,고기 > 닭요리",황평집,http://place.map.kakao.com/12751485,126.996129025206,37.5640672191679
서울 중구 필동3가 1-5,음식점 > 한식 > 냉면,필동면옥,http://place.map.kakao.com/11231325,126.99693958989,37.5603983847784
서울 중구 오장동 90-10,음식점 > 한식 > 냉면,오장동함흥냉면,http://place.map.kakao.com/20747449,126.99987775835788,37.56427090773028
서울 중구 주교동 153-2,음식점 > 한식 > 국수 > 칼국수,꾸왁칼국수,http://place.map.kakao.com/26808473,126.99722111707122,37.5682902181908
서울 중구 산림동 207-2,음식점 > 간식 > 도넛,빠우 을지로점,http://place.map.kakao.com/163031496,126.995449719616,37.5671449975857
서울 중구 장충동1가 13,음식점 > 한식 > 냉면,평양면옥 본점,http://place.map.kakao.com/13093208,127.00669603395768,37.56324808702588
서울 중구 광희동1가 120,음식점 > 아시아음식,사마르칸트 본점,http://place.map.kakao.com/16989098,127.0058110736232,37.56514833510789
서울 중구 신당동 248-32,"음식점 > 한식 > 육류,고기 > 갈비",백송,http://place.map.kakao.com/2129205762,127.013469307027,37.5647656874036
서울 중구 신당동 304-791,음식점 > 분식 > 떡볶이,우정,http://place.map.kakao.com/27388900,127.01490979074266,37.56279593622181
서울 중구 장충동1가 62-16,"음식점 > 한식 > 육류,고기 > 족발,보쌈",평안도족발집,http://place.map.kakao.com/11221819,127.00606648419787,37.56028474298094
서울 중구 신당동 250-20,"음식점 > 한식 > 육류,고기",그릴1492 본점,http://place.map.kakao.com/1285325677,127.012563867942,37.5651261857044
